Keywords_tweets,weights_tweets,reviews_keywords,reviews_weights
"['problem', 'month', 'annoy', 'world', 'boyfriend', 'company', 'dick', 'request', 'deserve', 'top']","[0.41, 0.084, 0.029, 0.023, 0.023, 0.019, 0.019, 0.016, 0.016, 0.013]","['application', 'make', 'bad', 'slow', 'garbage', 'instagram', 'lay', 'function', 'honestly', 'performance']","[0.229, 0.196, 0.184, 0.111, 0.022, 0.013, 0.01, 0.01, 0.008, 0.008]"
"['fix', 'photo', 'picture', 'super', 'quality', 'great', 'shoot', 'edit', 'half', 'amazing']","[0.202, 0.123, 0.117, 0.05, 0.047, 0.041, 0.023, 0.023, 0.021, 0.018]","['message', 'open', 'send', 'chat', 'show', 'people', 'receive', 'read', 'person', 'minute']","[0.21, 0.186, 0.139, 0.087, 0.078, 0.043, 0.033, 0.033, 0.025, 0.015]"
"['camera', 'iphone', 'quality', 'kiss', 'front_camera', 'samsung', 'pixel', 'ugly', 'selfie', 'awful']","[0.242, 0.164, 0.075, 0.065, 0.049, 0.044, 0.029, 0.029, 0.026, 0.021]","['friend', 'update', 'feature', 'find', 'type', 'bitmoji', 'remove', 'disappear', 'location', 'hard']","[0.177, 0.089, 0.071, 0.038, 0.034, 0.032, 0.029, 0.027, 0.021, 0.019]"
"['instagram', 'add', 'stuff', 'twitt', 'feature', 'year_ago', 'sick', 'stick', 'mashable', 'explain']","[0.168, 0.111, 0.057, 0.054, 0.044, 0.027, 0.023, 0.017, 0.017, 0.017]","['snapshot', 'problem', 'fix', 'recently', 'today', 'year', 'team', 'solve', 'daily', 'understand']","[0.538, 0.135, 0.07, 0.023, 0.015, 0.014, 0.013, 0.009, 0.008, 0.008]"
"['story', 'private', 'swipe', 'part', 'freeze', 'happy', 'iphone_max', 'quick', 'sister', 'act']","[0.425, 0.04, 0.034, 0.028, 0.025, 0.022, 0.012, 0.012, 0.012, 0.012]","['load', 'good', 'issue', 'lot', 'annoying', 'happen', 'button', 'lie', 'take_forever', 'completely']","[0.12, 0.116, 0.107, 0.079, 0.051, 0.049, 0.044, 0.025, 0.02, 0.019]"
"['trouble', 'hour', 'account', 'still_hav', 'deactivate', 'reactivated_try', 'please_reach', 'sometimes_take', 'recently', 'reactivate']","[0.251, 0.158, 0.114, 0.075, 0.073, 0.047, 0.044, 0.041, 0.016, 0.013]","['video', 'lag', 'freeze', 'long', 'record', 'device', 'play', 'start', 'horrible', 'point']","[0.263, 0.064, 0.06, 0.058, 0.053, 0.03, 0.027, 0.025, 0.023, 0.014]"
"['find', 'people', 'call', 'broke', 'point', 'weird', 'hard', 'show', 'texte', 'sign']","[0.141, 0.09, 0.09, 0.051, 0.042, 0.035, 0.029, 0.029, 0.023, 0.023]","['time', 'screen', 'close', 'open', 'half', 'lose', 'wrong', 'wife', 'top', 'wait']","[0.239, 0.068, 0.036, 0.034, 0.027, 0.026, 0.022, 0.021, 0.02, 0.016]"
"['problem', 'back', 'password', 'reason', 'share', 'click', 'important', 'matter', 'move', 'trust']","[0.183, 0.135, 0.089, 0.067, 0.04, 0.034, 0.031, 0.021, 0.021, 0.018]","['snap', 'send', 'late', 'text', 'unload', 'fail', 'big', 'stay', 'group', 'bottom']","[0.414, 0.172, 0.081, 0.065, 0.034, 0.028, 0.023, 0.008, 0.007, 0.007]"
"['issue', 'give', 'option', 'set', 'open', 'location', 'report', 'map', 'tap', 'experience']","[0.203, 0.07, 0.061, 0.053, 0.047, 0.047, 0.031, 0.031, 0.028, 0.028]","['update', 'recent', 'trash', 'ever_since', 'ruin', 'confusing', 'completely', 'screw', 'older_version', 'circle']","[0.732, 0.062, 0.034, 0.026, 0.019, 0.009, 0.009, 0.006, 0.005, 0.003]"
"['break', 'girl', 'show', 'bitch', 'heart', 'premium', 'nigga', 'money', 'fan', 'hell']","[0.318, 0.072, 0.059, 0.039, 0.039, 0.026, 0.026, 0.023, 0.02, 0.016]","['update', 'photo', 'anymore', 'private_story', 'edit', 'longer', 'doe', 'sticker', 'great', 'layout']","[0.228, 0.127, 0.08, 0.062, 0.058, 0.056, 0.039, 0.037, 0.034, 0.024]"
"['application', 'android', 'type', 'constantly', 'keyboard', 'reset', 'screnshot', 'blame', 'developer', 'spill']","[0.377, 0.167, 0.033, 0.021, 0.018, 0.018, 0.018, 0.015, 0.015, 0.009]","['story', 'save', 'memory', 'post', 'view', 'people', 'watch', 'automatically', 'literally', 'tap']","[0.229, 0.156, 0.118, 0.065, 0.051, 0.049, 0.023, 0.015, 0.013, 0.013]"
"['post', 'bad', 'ill', 'understand', 'black', 'full', 'trash', 'ghost', 'hand', 'song']","[0.222, 0.157, 0.049, 0.04, 0.028, 0.025, 0.022, 0.018, 0.018, 0.015]","['work', 'doe', 'filter', 'download', 'face', 'battery', 'properly', 'kind', 'game', 'fun']","[0.236, 0.203, 0.149, 0.052, 0.026, 0.022, 0.022, 0.015, 0.014, 0.014]"
"['time', 'fix', 'tweet', 'miss', 'play', 'add', 'attention', 'notification', 'amgoe', 'birthday']","[0.205, 0.08, 0.048, 0.045, 0.038, 0.038, 0.026, 0.019, 0.019, 0.016]","['update', 'change', 'suck', 'fix', 'click', 'streak', 'mess', 'everytime', 'black', 'switch']","[0.113, 0.093, 0.091, 0.056, 0.04, 0.036, 0.036, 0.034, 0.031, 0.03]"
"['day', 'check', 'valentine', 'issue', 'man', 'night', 'happy', 'turn', 'amnot', 'time']","[0.259, 0.093, 0.058, 0.048, 0.045, 0.042, 0.035, 0.035, 0.026, 0.016]","['android', 'camera', 'quality', 'user', 'samsung', 'galaxy', 'zoom', 'apple', 'note', 'poor']","[0.187, 0.177, 0.078, 0.052, 0.039, 0.031, 0.022, 0.019, 0.017, 0.017]"
"['fix', 'glitch', 'doe', 'view', 'frustrating', 'version', 'date', 'profile', 'work', 'honestly']","[0.13, 0.101, 0.097, 0.049, 0.045, 0.045, 0.042, 0.032, 0.029, 0.023]","['update', 'back', 'version', 'hate', 'give', 'star', 'font', 'terrible', 'awful', 'weird']","[0.215, 0.145, 0.078, 0.072, 0.062, 0.052, 0.044, 0.034, 0.024, 0.015]"
"['bug', 'week', 'user', 'show', 'listen', 'report', 'apple', 'kid', 'school', 'voice']","[0.099, 0.079, 0.076, 0.063, 0.05, 0.05, 0.046, 0.036, 0.026, 0.02]","['fix', 'love', 'bug', 'thing', 'glitch', 'day', 'stuff', 'stupid', 'guy', 'ago']","[0.283, 0.115, 0.104, 0.056, 0.055, 0.044, 0.027, 0.024, 0.023, 0.023]"
"['reply', 'start', 'text', 'page', 'back', 'disappear', 'computer', 'happen', 'thing', 'happy']","[0.112, 0.112, 0.112, 0.053, 0.046, 0.039, 0.014, 0.014, 0.014, 0.014]","['phone', 'delete', 'log', 'account', 'fine', 'restart', 'password', 'number', 'shut', 'email']","[0.312, 0.063, 0.06, 0.045, 0.042, 0.028, 0.019, 0.019, 0.017, 0.016]"
"['bad', 'stop', 'feel', 'shit', 'place', 'service', 'damn', 'sad', 'pay', 'claim']","[0.201, 0.125, 0.082, 0.043, 0.043, 0.037, 0.034, 0.027, 0.024, 0.015]","['picture', 'add', 'camera_roll', 'eye', 'option', 'pic', 'put', 'horrible', 'multiple', 'move']","[0.218, 0.063, 0.059, 0.054, 0.051, 0.046, 0.042, 0.036, 0.023, 0.019]"
"['horrible', 'snapchat', 'filter', 'decide', 'bad', 'dog', 'cut', 'finally', 'address', 'lie']","[0.193, 0.179, 0.126, 0.046, 0.021, 0.021, 0.021, 0.018, 0.018, 0.014]","['application', 'crash', 'great', 'constantly', 'pixel', 'deinstal', 'constant', 'crashing', 'shut', 'useless']","[0.679, 0.115, 0.036, 0.035, 0.019, 0.007, 0.006, 0.005, 0.004, 0.004]"
"['send', 'message', 'pic', 'hate', 'chat', 'drunk', 'sudden', 'word', 'forward', 'comment']","[0.336, 0.23, 0.063, 0.023, 0.02, 0.014, 0.011, 0.011, 0.011, 0.009]","['notification', 'stop', 'instal', 'run', 'turn', 'reason', 'sound', 'call', 'annoy', 'set']","[0.089, 0.07, 0.058, 0.034, 0.032, 0.03, 0.03, 0.029, 0.029, 0.027]"
