,tweet-id,timestamp,likes,replies,retweets,text
0,1097553534558572545,2019-02-18 17:48:48,0,0,0,abus hi problem whatsapi repli anyon messag get circl go round round stop use work fine i instal countless ti ame block ani suggest wrong
1,1097437985451192321,2019-02-18 10:09:39,0,0,0,abus web whatsit work day troubleshoot guidelin solv problem help pleas
4,1091354724610170880,2019-02-01 15:16:57,0,0,0,abus phone is ban use whatsit pleas help i troubl
5,1091193648144764928,2019-02-01 04:36:53,0,0,0,abus my friend got hack hacker lock u group ask help broken chines i pictwitercomwzbujcsdk
8,1099011756729470977,2019-02-22 18:23:16,0,0,0,abus whatsit work well voic call everyth ok open loud speaker microphon respond hear close loud speaker problem video call
9,1098998020136329216,2019-02-22 17:28:41,0,0,0,abus there bug applic what call declin automat without connect
12,1093159344051343361,2019-02-06 14:47:52,0,0,0,abus seem like small bug statu the ti are display statu reset randomli start display pictwitercomvlwlqayfj
13,1093071728551608320,2019-02-06 08:59:43,0,0,0,abus hi i problem watson
16,1091788452809658370,2019-02-02 20:00:26,0,0,0,abus two new futur ad group admit perfect abil shut user see group type abil delet someon els messag group someon said someth bad admin delet
17,1091634438851694592,2019-02-02 09:48:26,0,0,0,abus i view statu co show applic other view mine what problem
20,1100145619920932864,2019-02-25 21:28:50,0,0,0,abus jordan ayudarm recuper mi cuesta phone x max la craon por error
21,1100040442853421056,2019-02-25 14:30:53,0,0,0,abus pleas chat histori backup soon possibl bc import chat kind file whatsit pleas solv problem contact number
22,1100030981518573568,2019-02-25 13:53:18,0,0,0,congrat i problem
23,1099913036612157440,2019-02-25 06:04:37,0,0,0,abus abus thi problem continu come within everi day unabl fix issu set can pleas help issu backup issu whatsapictwitercomrjmfstp
28,1094243567990722560,2019-02-09 14:36:11,0,0,0,abus i would like help report bug whatsit web account seem dormant how i contact
29,1094159316662345728,2019-02-09 09:01:24,0,0,0,abus he find problem secur two step verif one hack whatsit use numberaft hack enabl two step verif instal whatsit receiv code phone number what applic ask two step verif code
30,1094126572695629824,2019-02-09 06:51:17,0,0,0,abus solv multipl pic statu unload bug i beta tester highlight multipl ti ame pictwitercombjiolhqp
31,1094119653993996289,2019-02-09 06:23:47,0,0,0,abus stupid move li smite number peopl forward im sure next big applic around corner im readi move fail justifi notbroken notifi
36,1097019186679898112,2019-02-17 06:25:30,0,0,0,abus your desktop ap cant play video total broken past week wonder ceo left
37,1096976404489687040,2019-02-17 03:35:30,0,0,0,abus phone number ban use whatsit resolv issu
38,1096931864177037313,2019-02-17 00:38:31,0,0,0,abus need help whatsit open pleas fix bug i manual chang date august recharg phone date updat automat via network pictwitercomyekzyspugr
42,1100868192879210496,2019-02-27 21:20:04,0,0,0,abus i hope put solut problem thank much
43,1100859213541199872,2019-02-27 20:44:24,0,0,0,abus i need contact secur problem previou account
44,1100817175584145415,2019-02-27 17:57:21,0,0,0,abus hi bought new phone oner t camera focus issu whatsit when press screen focu get un focuss pleas help possibl oner t get issu thank
45,1100802672674947072,2019-02-27 16:59:43,0,0,0,abus usual applic updat better i love whatsit main chat applic i get share stuff contact sinc last updat feb would fix
46,1100785227939672064,2019-02-27 15:50:24,0,0,0,abus abus i need clariti issu could someon dm pleas
47,1100711793305899014,2019-02-27 10:58:36,0,0,0,abus hi whatsit my friend i group chat phone admin stolen backup get old messag back get back group chat add new phone number is way fix
48,1100705520166481920,2019-02-27 10:33:40,0,1,0,abus pleas fix bug qualiti video call camera android pie user got bug use nokia x also other type phone abus abus
49,1100446010160095233,2019-02-26 17:22:28,1,0,0,abus i got block whatsit groupchat appar enough groupchat bad name block perman how my fault name creator groupchat chose pleas get touch unblock account
50,1100430724421873664,2019-02-26 16:21:44,0,0,0,hi problem send archiv via whatsit web get help
51,1100428016520491008,2019-02-26 16:10:58,1,0,0,abus bad connect prefer telegram piec
52,1100392687960764416,2019-02-26 13:50:35,0,0,0,abus hey guy could pleas clear contact sync issu mean super secret way get whatsit contact updat instantli mac phone ad new entri contact data base thank
53,1100342431608987649,2019-02-26 10:30:53,0,0,0,abus pleas fix notif io open one clear notif persist
54,1100330527003820032,2019-02-26 09:43:35,0,0,0,abus i problem number phone receiv verif code
55,1100227307527069697,2019-02-26 02:53:26,0,0,0,abus may help problem
56,1100222874844045312,2019-02-26 02:35:49,0,1,0,abus abus abus abus abus abus abus abus proof whatsit contact bug i wa account number all number use featur phone wa show number wa account wa birthday pictwitercompadekosv
72,1092876669663232000,2019-02-05 20:04:37,0,0,0,abus creat block statu option mute shit shitti i mean make lose contact i delet contact fuck phone dumb statu updat deserv wipe cheapli fix
73,1092872369079758848,2019-02-05 19:47:32,0,0,0,hi whi i send messag five contact number i think strong disadvantag addit suffer issu so pleas tri make
74,1092872339103064064,2019-02-05 19:47:24,0,0,0,abus hi whi i send messag five contact number i think strong disadvantag addit suffer issu so pleas tri make
75,1092872114510708736,2019-02-05 19:46:31,0,0,0,hi whi i send messag five contact number i think strong disadvantag addit suffer issu so pleas tri make
76,1092800731122462721,2019-02-05 15:02:52,0,0,0,abus so dark enough prevent face would work properli abl access whatsit till sun rise fail pictwitercomshslgj
77,1092695198121881600,2019-02-05 08:03:31,1,0,0,abus bug annoy pleas resolv soon possibl pictwitercomubpoxso
78,1092640793402126336,2019-02-05 04:27:20,0,0,0,abus abus abus abus what kind bug caus lot problem user pleas fix kind small bug asap pictwitercombnthlxrd
79,1092622127939743745,2019-02-05 03:13:09,0,0,0,abus tri chang number whatsit think canadian number unit state number due common countri term invalid proceed fan cover issu support ticket email unansw help nikitaganjreatus
88,1095633873906614272,2019-02-13 10:40:46,0,0,0,abus i problem profil i synchron old number new number
90,1094006178244423681,2019-02-08 22:52:53,0,0,1,peac upon i would like inform problem happen spam call i ban work pleas help thank
91,1093997316954976256,2019-02-08 22:17:40,0,0,0,abus blue tie even read problem applic
92,1093915060441939968,2019-02-08 16:50:49,0,0,0,abus kindli check problem i updat what pictwitercomrajrorheoy
93,1093753712361816064,2019-02-08 06:09:40,0,0,0,abus feel like bug problem applic tend freez everi yi are n also see video whatsit without freez
94,1093646538369351680,2019-02-07 23:03:48,0,0,0,abus possibl save medium chat seper folder got folder k pictur pure chao pleas fix one pictwitercomolcobpba
95,1093610470525755393,2019-02-07 20:40:29,0,0,0,abus sir reactiv whatsit number problem like pictur pleas help pictwitercomvnjtdoz
96,1093601494442668033,2019-02-07 20:04:49,0,0,0,abus statu new way peopl commun good bad see statu sila
104,1094614078314577920,2019-02-10 15:08:27,0,0,0,abus i problem i want play statu stori paus background audio get run solv issu samsung
106,1095391069636833287,2019-02-12 18:35:57,0,0,0,abus whatsit problem it open
107,1095385098009174016,2019-02-12 18:12:13,0,0,0,abus crash consist abus whenev incom video call bug
108,1095369878817685504,2019-02-12 17:11:44,0,0,0,abus there anoth bug what applic bug sogeti ame wa show non wa number wa number someon featur phone wa account number sogeti ame wa show number wa number thi happen everi non wa number
109,1095366986182418432,2019-02-12 17:00:15,0,0,0,abus there bug what applic a what ap group secur onli admin im member admin group i post group how possibl i proof i develop applic test bug differ text
110,1095112336195575808,2019-02-12 00:08:21,0,0,0,abus report bug found applic
111,1095021414502023169,2019-02-11 18:07:04,0,0,0,abus pleas help problem my account ban mistak i send spam one so pleas help problem my work stop and i depress pictwitercomiruatbhrw
112,1094980472826970112,2019-02-11 15:24:23,0,0,0,abus whatsit account hack how i fix
113,1094903350091345920,2019-02-11 10:17:55,0,0,0,abus guy request kindli remov separ delet delet everyon state delet receiv instead everyon technolog mishap bad illus
114,1094895254845751296,2019-02-11 09:45:45,0,0,0,abus im sugarco im sorri languag new roll eye emosi suck it suck bad
124,1092555259715772416,2019-02-04 22:47:27,0,0,0,abus implement dark mode featur fix desktop notif work window
125,1092467305353629698,2019-02-04 16:57:57,1,0,1,abus hear audio messag pri mari speaker mobil i shift ear speaker loud speaker shift loud speaker biggest bug im face phone poof whatsit
126,1092440188494774276,2019-02-04 15:10:12,1,0,0,abus fix emosi bug new appl phone updat pictwitercomyohdksxzu
127,1092359021632331776,2019-02-04 09:47:40,0,0,0,abus i issu i mail support mail back gener respons help i get actual help pleas pictwitercomzkmzqri
128,1092269085302419456,2019-02-04 03:50:17,0,0,0,abus se si alien ma le suck nome permit instalarwhatsap dice que tien un error nadalodesinstalo travel aura alien
129,1092097726630772736,2019-02-03 16:29:22,0,1,1,abus i mani peopl face bad servic whatsapw biggest problem whatsit send photo document anyon whatsit then receiv receiv photo document receipt origin size
130,1092066865025859586,2019-02-03 14:26:44,0,0,0,abus latest whatsapl busi instal got error
131,1092049941185290242,2019-02-03 13:19:29,0,0,0,abus sir receiv sm phone call verif code purpos want know problem side sim problem
132,1092003888545386497,2019-02-03 10:16:30,1,0,0,abus i found bug whatsit when i delet statu whatsit statu seen fund account after problem i uninst whatsit problem solv bakwastausopt whatsnew
133,1092001442486018049,2019-02-03 10:06:46,0,0,0,abus there bug delet messag someon repli messag delet delet messag still shown repli bodi
134,1091964319208820736,2019-02-03 07:39:16,0,0,0,abus bug just notic appar test team expect the ti are stamp level mix emosi text pictwitercompxewjyhqt
135,1091936172111286272,2019-02-03 05:47:25,0,0,0,abus whatsit block problem import
136,1091917242386640897,2019-02-03 04:32:12,0,0,0,abus day count you need address issu sinc clearli anomali ill abus daili basi provid suffici respons a explain intentionalmishap b clearli state cours action you take
137,1091853952856084481,2019-02-03 00:20:42,0,0,0,my whatsit number block pleas solv problem
152,1099604246654345216,2019-02-24 09:37:36,0,0,0,abus need make new version whatsit night mode optionmost u gat bad eye thank
153,1099321110540283904,2019-02-23 14:52:31,0,1,0,abus hey sure i one face issu am unabl send receiv messag today noon devic oner t anyon face issu whatsit
156,1096850739639443456,2019-02-16 19:16:09,0,0,0,abus i beta tester screenshot issu if i go back ongo video call screen stop take touch input i assum start happen last updat pictwitercomfqewjkol
157,1096707798883278849,2019-02-16 09:48:09,0,0,0,abus the last updat bad i forward messag person i hope restor previou system
158,1096487856292409345,2019-02-15 19:14:11,0,0,0,abus fix applic
159,1096449582618238977,2019-02-15 16:42:06,0,0,0,abus bug report android want share pictur add caption emosi last charact caption press send post disappear get sent
160,1096394314182123520,2019-02-15 13:02:29,0,0,0,abus unabl make video call whtsap despit fast internet connect can fix problem pleas
161,1096336188783222784,2019-02-15 09:11:31,0,1,0,abus number work sinc day i instal uninst ti ame pleas see account problem asap if kind big social webster work like wat done
162,1096279642229690368,2019-02-15 05:26:49,0,0,0,abus hello problem whatsit open applic say account suspend help pleas
170,1098334585056825346,2019-02-20 21:32:25,0,1,1,abus thi couldnt bad would
171,1098334314566160387,2019-02-20 21:31:21,0,0,0,abus i bought new number i found whatsit account ban problem i contact whatsit support i receiv automat answer problem solv pictwitercomisybhxbj
172,1098212119126913026,2019-02-20 13:25:47,0,0,0,abus abus number got block whatsit insid joke friend i group name can someon pleas help resolv issu i get anyth autom repli whatsit support
173,1098198407779299333,2019-02-20 12:31:18,0,0,0,abus bug ap it crash i click emot left chat box unabl download photo kept say intern memori full not thi one major issu
174,1098194761217949696,2019-02-20 12:16:49,0,0,0,abus issu jpeg file it use mani program download whatsit web i open file paint resal
175,1098160216032583680,2019-02-20 09:59:32,0,0,0,abus phone broken new one differ number use number get whatsit phone
176,1097921958551916544,2019-02-19 18:12:47,0,0,0,abus i discov program error whatsit
177,1097884964060827649,2019-02-19 15:45:47,0,0,0,buena uv un error bloquearon del whatsit por que yo tango bono mi cell su compar otto chip
178,1097791075937329152,2019-02-19 09:32:43,0,0,0,abus way login web applic without qr code my camera broken i mean guy anyth manual help
179,1097777457212678149,2019-02-19 08:38:36,0,0,0,i issu i read messag chrome browser
180,1097673765939367936,2019-02-19 01:46:34,0,0,0,abus phone broke longer access phone phone number i use whatsit account new phone
192,1098719326167855104,2019-02-21 23:01:15,0,0,0,abus hello id like report issu i receiv audio messag i hear audio ear when i put phone ear audio stop
193,1098711026038722560,2019-02-21 22:28:16,0,0,0,abus land en la ltd ala horn una actual que solut el bug que permit altar el bloqueo con face id touch id
194,1098676301353926656,2019-02-21 20:10:17,0,0,0,abus can pleas updat whatsit io becaus last updat bad i sent forward massag peopl thank
195,1098565878612815874,2019-02-21 12:51:30,0,0,0,abus i get verif code number i get messag tri mani ti ame wait hour pleas look issu
196,1098555605378203648,2019-02-21 12:10:41,0,0,0,abus is phone verif broken i tri move account phone i sinc i receiv messag call verif i remov old phone i tri hour can anyon help pleas
197,1098490916162027522,2019-02-21 07:53:38,0,0,0,abus hey i forget code verif put email account now use what applic issu look hear soon thank
